map,test_count,global_fp,global_fn,global_acc,global_prec,global_rec,global_f1,per_map_fp,per_map_fn,per_map_acc,per_map_prec,per_map_rec,per_map_f1
Ancient,55,14,8,0.6,0.5333333333333333,0.6666666666666666,0.5925925925925926,0,24,0.5636363636363636,0.0,0.0,0.0
Anubis,26,4,4,0.6923076923076923,0.75,0.75,0.75,0,16,0.38461538461538464,0.0,0.0,0.0
Dust2,59,9,13,0.6271186440677966,0.7,0.6176470588235294,0.65625,13,16,0.5084745762711864,0.5806451612903226,0.5294117647058824,0.5538461538461539
Inferno,53,9,8,0.6792452830188679,0.7,0.7241379310344828,0.711864406779661,0,29,0.4528301886792453,0.0,0.0,0.0
Mirage,64,18,9,0.578125,0.5384615384615384,0.7,0.6086956521739131,5,23,0.5625,0.5833333333333334,0.23333333333333334,0.3333333333333333
Nuke,51,13,10,0.5490196078431373,0.48,0.5454545454545454,0.5106382978723404,7,12,0.6274509803921569,0.5882352941176471,0.45454545454545453,0.5128205128205128
Overpass,16,1,6,0.5625,0.875,0.5384615384615384,0.6666666666666666,2,0,0.875,0.8666666666666667,1.0,0.9285714285714286
Train,39,5,9,0.6410256410256411,0.7222222222222222,0.5909090909090909,0.65,6,14,0.48717948717948717,0.5714285714285714,0.36363636363636365,0.4444444444444444
