match_id,date,map,map_number,team_A,team_B,winner,team_A_rank,team_B_rank,rank_diff,abs_rank_diff,picked_by_is_A,is_decider,map_winrate_A,map_winrate_B,recent_form_A,recent_form_B,winner_is_A,split_row,split_match
85968,2025-04-02,Anubis,4,CYBERSHOKE,Aurora,CYBERSHOKE,51,6,45,45,1,0,0.5,1.0,0.5,0.8,1,train,train
85900,2025-04-03,Mirage,7,Metizport,Imperial Valkyries,Metizport,78,51,27,27,0,1,0.5,0.5,0.375,0.5,1,train,train
85903,2025-04-03,Ancient,7,Imperial Valkyries,Nemiga,Nemiga,51,41,10,10,0,1,0.5,0.5,0.0,0.5,0,val,train
85899,2025-04-03,Train,7,Passion UA,Nemiga,Nemiga,32,41,-9,9,0,1,0.5,0.5,0.5,0.6,0,train,train
85897,2025-04-03,Dust2,7,9 Pandas,Nemiga,Nemiga,51,41,10,10,0,1,0.5,1.0,0.5,0.6666666666666666,0,val,val
86020,2025-04-04,Nuke,7,Dusty Roots,9z,Dusty Roots,51,50,1,1,0,1,0.5,0.5,0.5,0.5,1,train,train
86020,2025-04-04,Dust2,4,Dusty Roots,9z,9z,51,50,1,1,0,0,0.5,0.5,1.0,0.0,0,train,train
86020,2025-04-04,Inferno,3,Dusty Roots,9z,Dusty Roots,51,50,1,1,1,0,0.5,0.5,0.5,0.5,1,train,train
76913,2025-04-05,Anubis,7,TYLOO,The Huns,TYLOO,9,51,-42,42,0,1,1.0,0.5,1.0,0.5,1,train,train
76902,2025-04-05,Inferno,7,The Huns,TYLOO,TYLOO,51,9,42,42,0,1,0.5,0.5,0.0,1.0,0,train,train
85827,2025-04-06,Mirage,4,FURIA,Betclic,FURIA,10,51,-41,41,0,0,0.5,0.5,0.5,0.5,1,train,train
85827,2025-04-06,Dust2,3,FURIA,Betclic,FURIA,10,51,-41,41,1,0,0.5,0.5,1.0,0.0,1,val,train
86028,2025-04-06,Dust2,4,Imperial,Fluxo,Imperial,34,46,-12,12,1,0,0.5,0.5,0.5,0.5,1,train,train
85820,2025-04-06,Ancient,3,The MongolZ,3DMAX,The MongolZ,3,8,-5,5,1,0,0.5,0.5,0.5,0.5,1,train,train
85820,2025-04-06,Inferno,4,The MongolZ,3DMAX,3DMAX,3,8,-5,5,0,0,0.5,0.5,1.0,0.0,0,train,train
85825,2025-04-06,Nuke,3,Aurora,paiN,Aurora,6,17,-11,11,0,0,0.75,0.5,0.7,0.5,1,train,train
86016,2025-04-06,Dust2,3,BESTIA,Bounty Hunters,BESTIA,53,51,2,2,0,0,0.5,0.5,0.5,0.5,1,test,train
85824,2025-04-06,Anubis,4,Liquid,Legacy,Legacy,27,19,8,8,1,0,0.5,0.5,0.5,0.5,0,train,train
85821,2025-04-06,Mirage,3,Virtus.pro,Rare Atom,Rare Atom,18,36,-18,18,0,0,0.5,0.5,0.5,0.0,0,train,train
85823,2025-04-06,Inferno,4,G2,GamerLegion,G2,15,16,-1,1,1,0,0.0,0.5,0.0,0.5,1,train,train
85823,2025-04-06,Mirage,3,G2,GamerLegion,G2,15,16,-1,1,0,0,0.5,0.5,0.3333333333333333,0.0,1,train,train
85820,2025-04-06,Anubis,7,The MongolZ,3DMAX,3DMAX,3,8,-5,5,0,1,0.5,0.5,0.5,0.5,0,train,train
86016,2025-04-06,Anubis,4,BESTIA,Bounty Hunters,BESTIA,53,51,2,2,1,0,0.5,0.5,1.0,0.0,1,train,train
85824,2025-04-06,Nuke,3,Liquid,Legacy,Legacy,27,19,8,8,0,0,0.5,0.5,0.0,1.0,0,train,train
85826,2025-04-06,Train,7,FaZe,Astralis,Astralis,12,11,1,1,0,1,0.5,0.5,0.5,0.5,0,val,train
85821,2025-04-06,Ancient,4,Virtus.pro,Rare Atom,Rare Atom,18,36,-18,18,1,0,0.5,0.5,0.0,0.5,0,train,train
86028,2025-04-06,Inferno,3,Imperial,Fluxo,Imperial,34,46,-12,12,0,0,0.5,0.5,1.0,0.0,1,train,train
85826,2025-04-06,Dust2,4,FaZe,Astralis,FaZe,12,11,1,1,1,0,0.5,0.5,0.0,1.0,1,train,train
