map,global_logloss,per_map_logloss,recommendation,test_count
Ancient,0.7081512926158928,0.7262717036286161,global,55
Anubis,0.660025611517756,0.8263027715411169,global,26
Dust2,0.6567595157756619,0.7046846653707067,global,59
Inferno,0.7053210680213112,0.9482285970971206,global,53
Mirage,0.6936139931743319,1.0168762749381373,global,64
Nuke,0.6837321082321821,0.8634052190593379,global,51
Overpass,0.5767836652764634,0.5245071309725261,per_map,16
Train,0.6726875657556435,0.7596513375135558,global,39
