map,test_count,global_logloss,per_map_logloss,mean_diff,ci_low,ci_high,p_value,recommendation_orig,final_recommendation
Ancient,55,0.7081512926158928,0.7262717036286161,-0.0193745037464125,-0.1740451734829151,0.1180497829411885,0.575,,global
Anubis,26,0.660025611517756,0.8263027715411169,-0.1605847833142346,-0.4454762297460417,0.0857190483776195,0.892,,global
Dust2,59,0.6567595157756619,0.7046846653707067,-0.0513651988262813,-0.2296137578388924,0.0903784647280084,0.715,,global
Inferno,53,0.7053210680213112,0.9482285970971206,-0.2443412691853495,-0.44213020016658,-0.0714414259782009,0.996,,global
Mirage,64,0.6936139931743319,1.0168762749381373,-0.3277984257199204,-0.5820096284168625,-0.1021015994626398,1.0,,global
Nuke,51,0.6837321082321821,0.8634052190593379,-0.1822376105116346,-0.4140862051101608,0.0427536106764885,0.939,,global
Overpass,16,0.5767836652764634,0.5245071309725261,0.0545948442290264,-0.1233154537019745,0.2241200896552614,0.2698744769874477,,global
Train,39,0.6726875657556435,0.7596513375135558,-0.090098106910846,-0.2731984445160117,0.0828156880735783,0.84,,global
