map,test_count,mean_diff,ci_low,ci_high,p_value,global_logloss,per_map_logloss
Ancient,55,-0.01805267271329153,-0.17893625949930408,0.12408601384400113,0.577,0.7081512926158928,0.7262717036286161
Dust2,59,-0.05034684954238802,-0.21764411127154903,0.10026942570147994,0.7215,0.6567595157756619,0.7046846653707067
Train,39,-0.08522651735799598,-0.27693173693504997,0.08618110154606876,0.8155,0.6726875657556435,0.7596513375135558
Anubis,26,-0.16438291953188935,-0.4371876317365787,0.09522086615669385,0.8915,0.660025611517756,0.8263027715411169
Nuke,51,-0.17548588574470847,-0.4213586678967049,0.05175829903702486,0.939,0.6837321082321821,0.8634052190593379
Inferno,53,-0.2403208267361523,-0.4229948115323296,-0.059503451886436506,0.9965,0.7053210680213112,0.9482285970971206
Mirage,64,-0.32384079759784207,-0.5707163366849638,-0.10051329399994308,0.998,0.6936139931743319,1.0168762749381373
